,회사명,거래소코드,회계년도,자산,부채,자본,유동자산,유동부채,당좌자산,단기차입금,장기차입금,사채,매출액,당기순이익,감가상각비,기타대손상각비,이자비용,이자수익,유동성장기부채,영업활동으로 인한 현금흐름,영업이익,매출원가,투자자산,유형자산,무형자산,이연자산,매출채권,재고자산,법인세비용차감전,세금과공과,퇴직급여,임차료,영업외수익,영업외비용,회계월
226942,유코카캐리어스주식회사,38936,2002,1861212121.0,1522003897.0,339208224.0,306757988.0,418113719.0,298623417.0,60020000.0,775434933.0,300051984.0,77465791.0,-7552151.0,3320.0,45493.0,0.0,42281.0,71897485.0,33886971.0,-8178011.0,61047517.0,5000.0,236699.0,1537109019.0,0.0,30502044.0,8134571.0,-17194406.0,1525.0,178992.0,57575.0,22304752.0,31321147.0,Dec
226943,유코카캐리어스주식회사,38936,2003,1555912507.0,1197597498.0,358315009.0,122725986.0,223849294.0,105428139.0,0.0,762607489.0,161703000.0,1242804673.0,3850500.0,319074.0,369908.0,0.0,479046.0,159543294.0,76769903.0,30460000.0,1033528255.0,5000.0,45113718.0,1382175619.0,0.0,13857640.0,17297847.0,16472520.0,257002.0,1353568.0,1418827.0,89179866.0,103167346.0,Dec
226944,유코카캐리어스주식회사,38936,2004,1505901953.0,1035700312.0,470201641.0,294083387.0,265739567.0,274741114.0,125256000.0,219198000.0,490000000.0,1483729179.0,111886632.0,457416.0,0.0,0.0,921489.0,29929178.0,184479725.0,58620248.0,1238034972.0,52189.0,41520973.0,1165046975.0,0.0,50282082.0,19342273.0,145921016.0,287889.0,1275229.0,1539041.0,277589535.0,190288767.0,Dec
226945,유코카캐리어스주식회사,38936,2005,1596393126.0,1021022003.0,575371123.0,370444036.0,291932723.0,334670839.0,0.0,192470000.0,340000000.0,1555986859.0,105169482.0,612552.0,811474.0,0.0,1754350.0,199322138.0,104687217.0,46261014.0,1329101749.0,977630.0,259300149.0,962081764.0,0.0,55055633.0,35773197.0,104260922.0,336052.0,1496955.0,1721661.0,181691753.0,123691845.0,Dec
226946,유코카캐리어스주식회사,38936,2006,1477240285.0,849571778.0,627668507.0,257513746.0,151549178.0,223990593.0,37184000.0,247644932.0,253664000.0,1540984089.0,52297384.0,579665.0,16494.0,0.0,3962591.0,36572267.0,111127381.0,2925805.0,1363524479.0,1009880.0,399413171.0,816095875.0,0.0,55770305.0,33523153.0,25121825.0,356937.0,1279332.0,1671395.0,118134168.0,95938148.0,Dec
226947,유코카캐리어스주식회사,38936,2007,1655469563.0,1079815994.0,575653569.0,289818784.0,361942130.0,230268106.0,56292000.0,108089008.0,254438000.0,1582289911.0,-37577438.0,440097.0,37264.0,0.0,2563463.0,189836307.0,120938723.0,-8116318.0,1410757753.0,7101017.0,679054103.0,677533833.0,0.0,59249375.0,59550678.0,-35715903.0,370722.0,764246.0,1937591.0,34811475.0,62411060.0,Dec
226948,유코카캐리어스주식회사,38936,2008,2230126800.0,1686182368.0,543944432.0,364275765.0,484145569.0,320165774.0,25150000.0,188708859.0,158175000.0,2282954806.0,21513422.0,485801.0,0.0,0.0,2405463.0,253952390.0,113219705.0,105749710.0,1991567589.0,16839996.0,1236534225.0,610929057.0,0.0,192102958.0,44109990.0,25625191.0,80212.0,938652.0,1994024.0,118586193.0,198710711.0,Dec
226949,유코카캐리어스주식회사,38936,2009,2307092200.0,1722876564.0,584215636.0,529290415.0,375634818.0,467094754.0,21016800.0,121210237.0,305084000.0,2077425011.0,67669348.0,345489.0,96652.0,0.0,7973127.0,172232305.0,357540229.0,125025719.0,1761817740.0,15892885.0,1325202612.0,434996810.0,0.0,73918935.0,62195661.0,69515625.0,89831.0,1144723.0,2075995.0,50966817.0,106476912.0,Dec
226950,유코카캐리어스주식회사,38936,2010,2500132102.0,1814638723.0,685493379.0,538943908.0,454678916.0,464130290.0,0.0,41144082.0,200000000.0,2209387174.0,172267463.0,314832.0,38729.0,0.0,3413549.0,296961681.0,328674178.0,205457710.0,1806741199.0,28044869.0,1644692775.0,286406478.0,0.0,84509918.0,74813618.0,171942553.0,91487.0,1265650.0,2301043.0,27588996.0,61104153.0,Dec
226951,유코카캐리어스주식회사,38936,2011,2524436610.0,1768487768.0,755948842.0,581569373.0,538753720.0,448096902.0,0.0,95002938.0,0.0,2553335784.0,113998005.0,457184.0,0.0,0.0,2458586.0,315044588.0,285970620.0,145557537.0,2205167656.0,39242351.0,1684465157.0,217122105.0,0.0,137505808.0,133472472.0,120026292.0,98708.0,1577530.0,2895472.0,37141917.0,62673161.0,Dec
